tag_type,tag,display_de,display_en,is-active
level,beginner,Anfänger,Beginner,TRUE
level,beginner-plus,Anfänger+,Beginner+,TRUE
level,improver,Improver,Improver,TRUE
level,intermediate,Mittelstufe,Intermediate,TRUE
level,intermediate-plus,Mittelstufe+,Intermediate+,TRUE
level,advanced,Fortgeschritten,Advanced,TRUE
level,all-levels,Alle Levels,All Levels,TRUE
level,open-level,Offenes Level,Open Level,TRUE
