tag_type,tag,display_de,display_en,is-active
language,german,Deutsch,German,TRUE
language,english,Englisch,English,TRUE
language,bilingual,Zweisprachig,Bilingual,TRUE
language,all-welcome,Alle willkommen,All Welcome,TRUE
